"","sub","item","cond.x","Rtn_sweep_type","char_line","Rtnsweep_land_char","corr_sacc_land_char","sample","undersweep_prob"
"2517",6,70,2,"undersweep",4,7,5,"New",1
"2558",6,2,3,"undersweep",3,0,-1,"New",1
"2581",6,88,2,"undersweep",6,9,6,"New",1
"2606",6,26,3,"undersweep",11,8,4,"New",1
"2634",6,83,3,"accurate",8,5,NA,"New",0
"2654",6,13,2,"undersweep",5,8,3,"New",1
"2675",6,24,1,"undersweep",4,4,3,"New",1
"2707",6,32,3,"accurate",7,4,NA,"New",0
"2728",6,51,1,"accurate",8,8,NA,"New",0
"2754",6,34,2,"accurate",11,14,NA,"New",0
"2774",6,53,3,"accurate",10,7,NA,"New",0
"2798",6,49,2,"undersweep",11,14,9,"New",1
"2823",6,37,2,"accurate",4,7,NA,"New",0
"2843",6,77,3,"accurate",8,5,NA,"New",0
"2863",6,42,1,"accurate",7,7,NA,"New",0
"2886",6,9,1,"accurate",9,9,NA,"New",0
"2904",6,43,2,"accurate",5,8,NA,"New",0
"2922",6,16,2,"accurate",5,8,NA,"New",0
"2946",6,61,2,"undersweep",9,12,8,"New",1
"2964",6,78,1,"accurate",6,5,NA,"New",0
"2983",6,75,1,"accurate",7,7,NA,"New",0
"3001",6,76,2,"undersweep",8,11,7,"New",1
"3025",6,40,2,"accurate",7,10,NA,"New",0
"3042",6,27,1,"accurate",7,7,NA,"New",0
"30751",6,5,3,"accurate",13,10,NA,"New",0
"3100",6,65,3,"accurate",4,1,NA,"New",0
"3121",6,31,2,"accurate",9,12,NA,"New",0
"3155",6,25,2,"accurate",4,7,NA,"New",0
"3175",6,20,3,"accurate",5,2,NA,"New",0
"3193",6,69,1,"accurate",6,6,NA,"New",0
"3217",6,57,1,"undersweep",5,5,3,"New",1
"3242",6,22,2,"accurate",5,8,NA,"New",0
"3265",6,21,1,"accurate",5,5,NA,"New",0
"3286",6,68,3,"accurate",5,2,NA,"New",0
"3310",6,11,3,"accurate",10,7,NA,"New",0
"3330",6,79,2,"accurate",3,6,NA,"New",0
"3352",6,90,1,"accurate",9,9,NA,"New",0
"3374",6,28,2,"undersweep",7,10,7,"New",1
"3406",6,54,1,"accurate",3,3,NA,"New",0
"34291",6,8,3,"accurate",6,3,NA,"New",0
"3453",6,85,2,"accurate",7,10,NA,"New",0
"3473",6,87,1,"accurate",6,6,NA,"New",0
"3501",6,66,1,"accurate",4,4,NA,"New",0
"3530",6,56,3,"accurate",6,3,NA,"New",0
"3548",6,17,3,"accurate",6,3,NA,"New",0
"3576",6,64,2,"undersweep",11,14,5,"New",1
"36011",6,81,1,"accurate",8,8,NA,"New",0
"3621",6,30,1,"accurate",5,5,NA,"New",0
"3643",6,47,3,"accurate",5,2,NA,"New",0
"3665",6,60,1,"undersweep",7,7,3,"New",1
"3678",6,52,2,"undersweep",38,41,27,"New",1
"3703",6,35,3,"accurate",7,4,NA,"New",0
"3725",6,19,2,"accurate",6,9,NA,"New",0
"3766",6,74,3,"accurate",12,9,NA,"New",0
"3791",6,62,3,"accurate",14,11,NA,"New",0
"3802",6,23,3,"accurate",5,2,NA,"New",0
"3831",6,55,2,"undersweep",6,9,7,"New",1
"3849",6,36,1,"undersweep",10,10,2,"New",1
"3876",6,15,1,"accurate",13,13,NA,"New",0
"3906",7,54,2,"undersweep",6,9,5,"New",1
"3957",7,90,2,"undersweep",9,12,4,"New",1
"40181",7,85,3,"accurate",12,9,NA,"New",0
"4092",7,16,3,"undersweep",12,9,2,"New",1
"4162",7,15,2,"accurate",5,8,NA,"New",0
"4204",7,29,1,"undersweep",10,10,4,"New",1
"4314",7,81,2,"undersweep",3,6,3,"New",1
"4399",7,22,3,"undersweep",10,7,3,"New",1
"4460",7,32,1,"undersweep",8,8,3,"New",1
"4509",7,73,3,"accurate",6,3,NA,"New",0
"4556",7,68,1,"undersweep",10,9,3,"New",1
"4612",7,10,3,"undersweep",9,6,2,"New",1
"4687",7,3,2,"undersweep",3,6,3,"New",1
"4757",7,59,1,"undersweep",8,8,3,"New",1
"4810",7,38,1,"undersweep",12,12,11,"New",1
"4906",7,11,1,"undersweep",14,14,5,"New",1
